Town,Crimes,Population,
Rivertowna,439,15418,2.847321313
Skyhaven,94,2843,3.306366514
Verdantville,181,13115,1.380099123
Crystal Springs,614,11755,5.22330923
Starfall Heights,1641,23137,7.092535765
Thundergate,1631,21086,7.734990041
Harmony Harbor,526,21808,2.411958914
Aurora Bay,515,9864,5.221005677
Meadowbrook,459,12659,3.625878821
Ironridge,3701,32372,11.43271963
Serenity Peaks,6233,45270,13.76850011
Emberwood,2838,39488,7.186993517
Crescent Cove,8847,42443,20.84442664
Havenbrook,5118,29960,17.08277704
Solstice City,6440,39402,16.344348
Cascade Falls,1671,40620,4.113737075
Frostholm,1464,30033,4.874637898
Velvet Valley,1578,45438,3.472864123
Quicksilver Ridge,1688,44288,3.811416185
Willowbrook,305,11675,2.6124197
Whispering Pines,752,27984,2.687249857
Brookside,598,17653,3.3875262
Sunflower Fields,819,33201,2.466793169
Silverlake,936,29580,3.164300203
Tranquil Haven,371,13899,2.669256781
Maplewood,250,10237,2.442121715
Oakridge,1312,17245,7.60800232
Crystal Lake,1693,24567,6.891358326
Evergreen Heights,227,2345,9.680170576
Moonlight Bay,415,2915,14.23670669
Oceanview,220,2574,8.547008547
Riverview,489,6782,7.210262459
Amberwood,191,1576,12.11928934
Pinecrest,272,2964,9.176788124
Willowdale,208,8824,2.357207616
Misty Hollow,116,1697,6.835592222
Serene Shores,14,1793,0.7808142777
Diamond Ridge,3234,36492,8.862216376
Sunrise Valley,569,19234,2.958303005
Brookhaven,340,13924,2.441827061
Woodland Grove,2912,32409,8.985158444
Lakeside Retreat,749,23571,3.177633533
Rosewood,127,4978,2.551225392
Shadowbrook,602,19072,3.156459732
Springvale,1298,10472,12.39495798
Ember Ridge,1509,37283,4.047421077
Moonlit Meadows,3894,34719,11.21576082
Wildflower Junction,267,8923,2.992267175
Echo Falls,1194,41638,2.86757289
Birchwood,345,12984,2.657116451
Autumn Glen,478,16329,2.927307245
Suncrest,1267,32841,3.8579824
Whisperwind,2763,28701,9.62684227
Willow Springs,589,19567,3.010170184
Starlight Ridge,4197,36342,11.54862143
Summerfield,732,23012,3.18094907
Redwood Hills,643,22198,2.896657357
Maple Grove,482,17420,2.766934558
Silvercrest,2954,33198,8.898126393
Harmony Springs,162,11369,1.424927434
Riverside Haven,3871,31480,12.29669632
Twilight Bluff,543,19687,2.758165287
Oakwood Acres,2423,34872,6.948267951
Meadowview,376,13529,2.77921502
Crystal Cove,703,24655,2.851348611
Whispering Brook,3815,26809,14.2302958
Pinehill,275,10763,2.555049707
Tranquility Bay,1002,37562,2.667589585
Velvet Ridge,1487,41209,3.608435051
Moonshadow,3244,28945,11.20746243
Golden Hills,687,24916,2.757264408
Stonybrook,381,14275,2.669001751
Riverbend,522,20128,2.593402226
Serenity Shores,1256,40975,3.06528371
Birchwood Acres,1285,40864,3.144577134
Cedarwood,50,1934,2.585315408
Mystic Falls,447,16721,2.673285091
Sunridge,724,24557,2.948242864
Whispering Woods,624,20946,2.979089086