Town,Crimes,Population,Ethnicity,Policing needed
Rivertowna,439,15418,0.4086152579,0
Skyhaven,94,2843,0.06148549127,0
Verdantville,181,13115,0.5779420243,0
Crystal Springs,614,11755,0.1539641729,0
Starfall Heights,1641,23137,0.1242553043,1
Thundergate,1631,21086,0.6469487868,1
Harmony Harbor,526,21808,0.8850449579,0
Aurora Bay,515,9864,0.7049031816,0
Meadowbrook,459,12659,0.769148705,0
Ironridge,3701,32372,0.4107733784,1
Serenity Peaks,6233,45270,0.4839637613,1
Emberwood,2838,39488,0.52471864,1
Crescent Cove,8847,42443,0.6477672133,1
Havenbrook,5118,29960,0.6189284494,1
Solstice City,6440,39402,0.4154910285,1
Cascade Falls,1671,40620,0.7344197932,1
Frostholm,1464,30033,0.3605249139,1
Velvet Valley,1578,45438,0.5227960746,1
Quicksilver Ridge,1688,44288,0.7565713208,1
Willowbrook,305,11675,0.6239838822,0
Whispering Pines,752,27984,0.7731711921,0
Brookside,598,17653,0.79858676,0
Sunflower Fields,819,33201,0.4139334767,0
Silverlake,936,29580,0.2908625424,0
Tranquil Haven,371,13899,0.8129967254,0
Maplewood,250,10237,0.05868611202,0
Oakridge,1312,17245,0.3691464815,1
Crystal Lake,1693,24567,0.2178674018,1
Evergreen Heights,227,2345,0.4589234004,0
Moonlight Bay,415,2915,0.8714034607,0
Oceanview,220,2574,0.1485087138,0
Riverview,489,6782,0.1615767562,0
Amberwood,191,1576,0.5305536018,0
Pinecrest,272,2964,0.7317625796,0
Willowdale,208,8824,0.01312819539,0
Misty Hollow,116,1697,0.5722742062,0
Serene Shores,14,1793,0.8546248894,0
Diamond Ridge,3234,36492,0.6842441447,1
Sunrise Valley,569,19234,0.2968485156,0
Brookhaven,340,13924,0.62927521,0
Woodland Grove,2912,32409,0.6220160016,1
Lakeside Retreat,749,23571,0.5355240644,0
Rosewood,127,4978,0.2900420751,0
Shadowbrook,602,19072,0.1253215162,0
Springvale,1298,10472,0.8555157274,1
Ember Ridge,1509,37283,0.6431039841,1
Moonlit Meadows,3894,34719,0.4360140063,1
Wildflower Junction,267,8923,0.1746419125,0
Echo Falls,1194,41638,0.710884401,1
Birchwood,345,12984,0.06396800723,0
Autumn Glen,478,16329,0.01659376496,0
Suncrest,1267,32841,0.6130770577,1
Whisperwind,2763,28701,0.5199746139,1
Willow Springs,589,19567,0.6486920324,0
Starlight Ridge,4197,36342,0.8989303507,1
Summerfield,732,23012,0.04455123253,0
Redwood Hills,643,22198,0.6426575654,0
Maple Grove,482,17420,0.1976905726,0
Silvercrest,2954,33198,0.5922780104,1
Harmony Springs,162,11369,0.2905972362,0
Riverside Haven,3871,31480,0.5312325101,1
Twilight Bluff,543,19687,0.2494163157,0
Oakwood Acres,2423,34872,0.8065952875,1
Meadowview,376,13529,0.004069371643,0
Crystal Cove,703,24655,0.1547792708,0
Whispering Brook,3815,26809,0.8231896029,1
Pinehill,275,10763,0.6551268924,0
Tranquility Bay,1002,37562,0.6311567827,1
Velvet Ridge,1487,41209,0.2995269225,1
Moonshadow,3244,28945,0.8497983201,1
Golden Hills,687,24916,0.6192252085,0
Stonybrook,381,14275,0.3555790563,0
Riverbend,522,20128,0.3083340144,0
Serenity Shores,1256,40975,0.5557942736,1
Birchwood Acres,1285,40864,0.7075720841,1
Cedarwood,50,1934,0.116956336,0
Mystic Falls,447,16721,0.1378422497,0
Sunridge,724,24557,0.3830607,0
Whispering Woods,624,20946,0.777860091,0
Coral Springs,1490,15573,0.7082981011,1
Willowmere,1004,32578,0.5855185591,1
Radiant Peaks,1343,10535,0.6106850581,1
Autumn Haven,792,21468,0.1039734964,0
Larkspur Hollow,1454,9593,0.5188411889,1
Silverbrook,1341,28730,0.9624152564,1
Celestial Bay,482,4589,0.1758667834,0
Verdant Glade,1664,3612,0.5386797904,1
Ember Hollow,269,16355,0.5819184301,0
Starlit Springs,1429,30429,0.5903623309,1
Whispering Vale,1162,17253,0.701838694,1
Azure Harbor,221,8763,0.5151599374,0
Twilight Meadows,670,28718,0.337270367,0
Stonebridge,104,36363,0.2065269454,0
Meadowcrest,1933,20289,0.7173348907,1
Thornhill,1660,35780,0.5042670465,1
Moonlit Glade,431,8929,0.08305102074,0
Crestwood,2112,7281,0.8963244494,1
Lavender Fields,504,8008,0.04638236529,0
Riverstone,2048,12133,0.7490851181,1
Sablewood,1850,31761,0.6073204527,1
Misty Haven,2480,24479,0.9903961505,1
Wildwood Ridge,1059,38085,0.6029254624,1
Crimson Cove,1098,31163,0.8967386727,1
Seraphim Springs,2295,33232,0.5493229096,1
Maple Crest,2487,37796,0.7901131986,1
Enchanted Pines,2477,38942,0.8678985408,1
Harmony Hollow,1743,30965,0.6542119918,1
Ebonwood,1157,11263,0.7134238082,1
Sunflower Haven,522,6167,0.4126352623,0
Obsidian Bay,1531,9361,0.4920660071,1
Meadowridge,1758,13654,0.8620352513,1
Serenity Bluff,1590,26687,0.6685941682,1
Goldenbrook,1977,3229,0.578890989,1
Pineview,854,34660,0.5384748927,0
Emberfall,1521,30947,0.8045534603,1
Twilight Haven,1920,11597,0.9962793036,1
Starflower Fields,2293,18642,0.9252694244,1
Brookside Manor,1937,36362,0.5449504576,1
Everglade,1242,28370,0.9792228394,1
Stormcrest,1693,23929,0.8111301723,1
Frostwood,1460,29609,0.4367634284,1
Whispering Glen,1175,26832,0.5817238456,1
Violet Vale,654,26903,0.3420866072,0
Serene Meadows,873,9476,0.5394705641,0
Havenwood,1486,4552,0.9252694244,1
Topaz Ridge,2009,7715,0.5449504576,1
Moonlit Haven,1677,28553,0.9792228394,1
Cedarbrook,300,6341,0.5289944848,0
Sunlit Glen,807,13981,0.282857435,0